Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,764959,-,-,-,41.65,-93.9,-6,311,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure,
2019,1,1,0,0,0,0,0,-10.4,160.94,5.800000000000001,77.74,-7.2,986,N/A
2019,1,1,0,30,0,0,0,-10.4,161.22,5.800000000000001,78.95,-7.4,986,N/A
2019,1,1,1,0,0,0,0,-11.200000000000001,159.48,5.7,76.19,-7.7,987,N/A
2019,1,1,1,30,0,0,0,-11.200000000000001,156.17000000000002,5.5,77.98,-8,987,N/A
2019,1,1,2,0,0,0,0,-12,151.86,5.4,74.71000000000001,-8.3,987,N/A
2019,1,1,2,30,0,0,0,-12,146.95000000000002,5.2,77.16,-8.700000000000001,988,N/A
2019,1,1,3,0,0,0,0,-12.8,141.69,5.1000000000000005,73.98,-9,988,N/A
2019,1,1,3,30,0,0,0,-12.8,136.24,5.1000000000000005,75.81,-9.3,989,N/A
2019,1,1,4,0,0,0,0,-13.700000000000001,130.68,5.1000000000000005,72.01,-9.600000000000001,989,N/A
2019,1,1,4,30,0,0,0,-13.700000000000001,125.09,5.2,74.4,-10,990,N/A
2019,1,1,5,0,0,0,0,-14.5,119.49000000000001,5.2,71.27,-10.3,990,N/A
2019,1,1,5,30,0,0,0,-14.5,113.95,5.1000000000000005,73.06,-10.600000000000001,991,N/A
2019,1,1,6,0,0,0,0,-15.200000000000001,108.48,5,70.32000000000001,-10.9,991,N/A
2019,1,1,6,30,0,0,0,-15.200000000000001,103.12,4.800000000000001,72.60000000000001,-11.3,991,N/A
2019,1,1,7,0,0,0,0,-15.9,97.91,4.6000000000000005,70.15,-11.600000000000001,992,N/A
