Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,812400,-,-,-,41.65,-91.62,-6,229,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure,
2018,1,1,0,0,0,0,0,-28.200000000000003,161.24,3.5,69.84,-24.3,1015,N/A
2018,1,1,0,30,0,0,0,-28.200000000000003,160.89000000000001,3.5,70.47,-24.400000000000002,1015,N/A
2018,1,1,1,0,0,0,0,-28.3,158.62,3.4000000000000004,71.5,-24.6,1015,N/A
2018,1,1,1,30,0,0,0,-28.3,154.96,3.4000000000000004,72.15,-24.700000000000003,1015,N/A
2018,1,1,2,0,0,0,0,-28.3,150.43,3.4000000000000004,72.92,-24.8,1015,N/A
2018,1,1,2,30,0,0,0,-28.3,145.4,3.4000000000000004,73.58,-24.900000000000002,1015,N/A
2018,1,1,3,0,0,0,0,-28.3,140.07,3.5,74.79,-25.1,1015,N/A
2018,1,1,3,30,0,0,0,-28.3,134.57,3.5,75.47,-25.200000000000003,1015,N/A
2018,1,1,4,0,0,0,0,-28.400000000000002,129,3.6,75.5,-25.3,1016,N/A
2018,1,1,4,30,0,0,0,-28.400000000000002,123.39,3.7,75.5,-25.3,1016,N/A
2018,1,1,5,0,0,0,0,-28.5,117.81,3.7,74.76,-25.3,1016,N/A
2018,1,1,5,30,0,0,0,-28.5,112.28,3.7,74.08,-25.200000000000003,1016,N/A
2018,1,1,6,0,0,0,0,-28.5,106.84,3.7,73.13,-25.1,1016,N/A
